category,start_date
Alfalfa,1 to 2 weeks before
Asparagus,1 week after
Artichoke,on frost-free date
Arugula,1 to 2 weeks before
Basil,1 week after
Beet,2 weeks before
Bean,1 to 2 weeks after
Blackberries,2 to 3 weeks before
Blueberries,on frost-free date
Boysenberry,4 weeks before
Broccoli,2 weeks before
Brussels Sprouts,2 to 3 weeks before
Cabbage,4 weeks before
Carrot,3 weeks before
Cauliflower,2 weeks before
Celery,1 week after
Celeriac,1 week after
Collard,4 weeks before
Currant,3 weeks before
Endive,3 weeks before
Corn,0 to 2 weeks after
Cucumber,1 to 2 weeks after
Daylily,3 weeks before
Eggplant,2 to 3 weeks after
Elderberry,1 week after
Garlic,6 months before
Grapes,2 to 3 weeks before
Goji,1 week after
Gooseberry,2 to 3 weeks before
Gourd,2 to 3 weeks before
Herbs,2 to 3 weeks after
Hops,1 week after
Honeysuckle,1 week after
Honeyberries,1 week after
Huckleberry,1 to 2 weeks before
Jasmine,4 to 6 weeks after
Kale,4 weeks before
Kiwi,1 week after
Kohlrabi,4 weeks before
Leek,2 weeks before
Lettuce,3 to 4 weeks before
Lily,1 to 2 weeks before
Lingonberry,1 week after
Marionberry,on frost-free date
Melons,2 weeks after
Mustard,4 weeks before
Okra,2 to 4 weeks after
Onion,4 weeks before
Pak Choi,4 to 6 weeks before
Parsley,2 to 3 weeks before
Parsnip,2 to 3 weeks before
Pea,6 to 8 weeks before
Peony,6 months before
Persimmon,1 to 2 weeks before
Pepper,2 weeks after
Potato,4 to 6 weeks before
Pumpkin,2 weeks after
Radish,4 to 6 weeks before
Rhubarb,1 to 2 weeks before
Rutabaga,2 weeks after
Salad,2 weeks before
Spinach,3 to 6 weeks before
Squash,2 weeks after
Turnip,2 to 3 weeks before
Chard,2 weeks before
Tomato,1 to 2 weeks after
Watermelon,2 weeks after
Ageratum,on frost-free date
Agrostemma,on frost-free date
Corn Cockle,on frost-free date
Amaranthus,1 week after
Ammi,on frost-free date
False Queen Anne's Lace,on frost-free date
Artemisia,on frost-free date
Sweet Annie,on frost-free date
Astilbe,on frost-free date
Alyssum,6 months before
Asclepias,on frost-free date
Bergamot,1 to 2 weeks before
Butterfly Weed,on frost-free date
